name,position,team,latest_value,expected_points,std_points,selection_freq
Cole Palmer,MID,Chelsea,57,11.955673527023876,3.8262252939417984,0.604
Rodrigo Muniz Carvalho,FWD,Fulham,45,10.166864786617657,4.534313619501853,0.545
Antonee Robinson,DEF,Fulham,45,7.421837910325269,3.521363372331802,0.388
Benjamin White,DEF,Arsenal,56,7.280760776541646,3.867815921162743,0.385
Timothy Castagne,DEF,Fulham,45,7.001094568289764,3.762977544445356,0.342
AndrÃ© Onana,GK,Man Utd,48,6.73658268668388,3.3823069050575527,0.317
Son Heung-min,MID,Spurs,100,7.883572009472974,5.607138307550474,0.292
Ollie Watkins,FWD,Aston Villa,90,6.435684425141597,4.955804677345546,0.275
Kai Havertz,MID,Arsenal,71,7.93207232153312,4.33589667773576,0.261
Alexis Mac Allister,MID,Liverpool,58,8.781223467718283,2.8284271247461903,0.246
Rayan AÃ¯t-Nouri,DEF,Wolves,45,5.207727308431141,4.979959839195493,0.238
Bruno GuimarÃ£es Rodriguez Moura,MID,Newcastle,58,7.297523526608405,4.774934554525329,0.233
Cristian Romero,DEF,Spurs,51,5.6271496559537155,3.8262252939417984,0.231
John Stones,DEF,Man City,53,5.7066933583132355,3.4409301068170506,0.22
Declan Rice,MID,Arsenal,54,7.0572939008661,4.673328578219168,0.216
Lewis Dunk,DEF,Brighton,52,4.5282223657973795,4.995998398718719,0.206
Nicolas Jackson,FWD,Chelsea,68,7.346094709165536,2.7856776554368237,0.195
Phil Foden,MID,Man City,82,6.2711020644757545,5.388877434122992,0.191
Conor Gallagher,MID,Chelsea,54,6.258171351368328,5.192301994298868,0.189
Calvin Bassey,DEF,Fulham,44,5.7172394755140274,3.22490309931942,0.187
Alexander Isak,FWD,Newcastle,75,6.4978742554125795,3.249615361854384,0.177
Bernd Leno,GK,Fulham,48,5.680254170467796,2.9664793948382653,0.169
Dango Ouattara,MID,Bournemouth,47,6.704065344445854,4.317406628984581,0.169
Jarrod Bowen,MID,West Ham,80,4.163639279749916,6.997142273814361,0.164
Antoine Semenyo,FWD,Bournemouth,45,5.437782215026245,4.127953488110059,0.161
Chris Richards,DEF,Crystal Palace,39,3.8137549746428054,5.019960159204453,0.157
Fabian SchÃ¤r,DEF,Newcastle,54,4.17235266375684,4.409081537009721,0.157
Bukayo Saka,MID,Arsenal,92,5.967670107512898,4.955804677345547,0.154
Jayden Bogle,DEF,Sheffield Utd,45,4.013517692641006,4.214261501141095,0.145
Chris Wood,FWD,Nott'm Forest,48,5.833290489322032,3.4871191548325386,0.138
