opponent,def_factor,atk_factor,attacker_easiness_rank,defender_easiness_rank
Southampton,1.5884732319778434,2.317915656136402,1,2
Leicester,1.5695037413727506,1.5975787906909353,2,6
Ipswich,1.4062603521595616,2.1703948702478826,3,3
Wolverhampton Wanderers,1.2240541497408628,1.1232975872045639,4,10
Brentford,1.1680518547229055,0.7796694364143262,5,15
West Ham,1.132135527177191,2.5869883826529354,6,1
Aston Villa,1.0487901881820314,1.0389659365135306,7,11
Tottenham,1.0329518811645937,0.9208266640788029,8,13
Manchester City,0.9952132921533261,0.47495585669189966,9,20
Manchester United,0.9347303130556529,1.7910355973761658,10,5
Fulham,0.913865423055576,1.1878549198025274,11,9
Brighton,0.8954047638293605,1.2747347434054754,12,7
Newcastle United,0.8868394962887995,0.8755960679748395,13,14
Chelsea,0.8673155747587078,0.7284414656417476,14,18
Everton,0.8330886398487601,1.85508326682204,15,4
Crystal Palace,0.8142804422599353,1.2173857611755443,16,8
Bournemouth,0.8009792570497175,0.9370414060783371,17,12
Nottingham Forest,0.7429282631703096,0.771557938685963,18,16
Liverpool,0.5821272313282316,0.49459924769937386,19,19
Arsenal,0.5630063767038817,0.7556115901916586,20,17
