opponent,def_factor,atk_factor,attacker_easiness_rank,defender_easiness_rank
Arsenal,0.6073224152350597,0.7375284772117787,20,18
Aston Villa,0.932819074768448,0.9662806252239882,12,12
Bournemouth,0.7855681674343347,1.029822888560713,15,11
Brentford,1.1424437202912827,0.7747147869871626,5,16
Brighton,0.9854482830419522,1.1563098390899302,10,8
Chelsea,0.7804296923520919,0.808133856229746,17,15
Crystal Palace,0.9703730366880886,1.0823076770425306,11,9
Everton,0.7957808223650581,1.8241011802697735,14,5
Fulham,1.003273303455799,1.1991899651152638,9,7
Ipswich,1.4354120866548277,1.9975642554706028,3,3
Leicester,1.506435681659885,1.5925404243796712,1,6
Liverpool,0.6778552261270275,0.5218831659630693,19,19
Manchester City,0.8581757883222527,0.4765669750254363,13,20
Manchester United,1.0251841009065468,1.8921821767019789,8,4
Newcastle United,0.7697749131374417,0.7736312698025651,18,17
Nottingham Forest,0.7836161314700022,0.8538765524938507,16,14
Southampton,1.4823011199202683,2.3937904377714445,2,2
Tottenham,1.2249614485315,1.053337266919131,4,10
West Ham,1.1211541621695111,2.54247307365787,6,1
Wolverhampton Wanderers,1.1116708254686218,0.9583926201201188,7,13
