GW,budget,pred_xi_points,true_xi_points
2,830,95.84411907840595,48.0
3,830,93.84429444847407,45.0
4,830,73.8945496611396,33.0
5,830,59.96427021286434,41.0
6,830,61.989444663807696,56.0
7,830,59.18005107616608,71.0
8,830,56.04483871772985,32.0
9,830,66.71496765620408,59.0
10,830,54.576499473648504,37.0
11,830,55.35845492688127,41.0
12,830,53.26370311269312,48.0
13,830,57.09049191845021,52.0
14,830,54.403628013166696,80.0
15,830,52.64511345025127,39.0
16,830,90.79578773973044,75.0
17,830,81.52424321823167,94.0
18,830,84.44946208992273,82.0
19,830,85.7378085622365,138.0
20,830,94.84409236946267,116.0
21,830,86.62311767122577,74.0
22,830,83.64359424472771,61.0
23,830,94.9147600366778,99.0
24,830,113.7476891705014,139.0
25,830,80.0677233615714,79.0
26,830,78.78394881998383,80.0
27,830,89.43609550616594,86.0
28,830,112.73637634701781,85.0
29,830,48.82158408845743,40.0
30,830,93.64116086063129,89.0
31,830,85.0863167201474,86.0
32,830,117.04202464145243,73.0
33,830,82.84077317581493,72.0
34,830,64.2938635452851,43.0
35,830,52.89607870900365,25.0
36,830,56.851072060775664,48.0
37,830,54.70722584973088,61.0
38,830,54.99818912545045,50.0
