season,Date,Team,Opp,is_home,GF,GA,Pts,pWin,GF_roll5_partial,GF_roll5_full,GA_roll5_partial,GA_roll5_full,S_roll5_partial,S_roll5_full,SoT_roll5_partial,SoT_roll5_full,Pts_roll5_partial,Pts_roll5_full,pWin_roll5_partial,pWin_roll5_full,GF_roll8_partial,GF_roll8_full,GA_roll8_partial,GA_roll8_full,S_roll8_partial,S_roll8_full,SoT_roll8_partial,SoT_roll8_full,Pts_roll8_partial,Pts_roll8_full,pWin_roll8_partial,pWin_roll8_full
2021-22,2021-08-13,Arsenal,Brentford,0,0,2,0,0.48519443453442734,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,2021-08-22,Arsenal,Chelsea,1,0,2,0,0.19887458567794647,0.0,,2.0,,22.0,,4.0,,0.0,,0.48519443453442734,,0.0,,2.0,,22.0,,4.0,,0.0,,0.48519443453442734,
2021-22,2021-08-28,Arsenal,Man City,0,0,5,0,0.07936507936507936,0.0,,2.0,,14.0,,3.5,,0.0,,0.3420345101061869,,0.0,,2.0,,14.0,,3.5,,0.0,,0.3420345101061869,
2021-22,2021-09-11,Arsenal,Norwich,1,1,0,3,0.6344827586206896,0.0,,3.0,,9.666666666666666,,2.3333333333333335,,0.0,,0.25447803319248435,,0.0,,3.0,,9.666666666666666,,2.3333333333333335,,0.0,,0.25447803319248435,
2021-22,2021-09-18,Arsenal,Burnley,0,1,0,3,0.4866595517609391,0.25,,2.25,,14.75,,3.5,,0.75,,0.3494792145495357,,0.25,,2.25,,14.75,,3.5,,0.75,,0.3494792145495357,
2021-22,2021-09-26,Arsenal,Tottenham,1,3,1,3,0.44134505158578524,0.4,0.4,1.8,1.8,14.4,14.4,3.4,3.4,1.2,1.2,0.37691528199181634,0.37691528199181634,0.4,,1.8,,14.4,,3.4,,1.2,,0.37691528199181634,
2021-22,2021-10-02,Arsenal,Brighton,0,0,0,1,0.393939393939394,1.0,1.0,1.6,1.6,12.4,12.4,4.0,4.0,1.8,1.8,0.36814540540208796,0.36814540540208796,0.8333333333333334,,1.6666666666666667,,14.0,,4.0,,1.5,,0.3876535769241445,
2021-22,2021-10-18,Arsenal,Crystal Palace,1,2,2,1,0.5925155925155925,1.0,1.0,1.2,1.2,12.8,12.8,3.8,3.8,2.0,2.0,0.40715836705437747,0.40715836705437747,0.7142857142857143,,1.4285714285714286,,13.142857142857142,,3.7142857142857144,,1.4285714285714286,,0.38855155078346587,
2021-22,2021-10-22,Arsenal,Aston Villa,1,3,1,3,0.5198277142432793,1.4,1.4,0.6,0.6,16.0,16.0,5.0,5.0,2.2,2.2,0.5097884696844801,0.5097884696844801,0.875,0.875,1.5,1.5,13.625,13.625,4.0,4.0,1.375,1.375,0.4140470559999817,0.4140470559999817
2021-22,2021-10-30,Arsenal,Leicester,0,2,0,3,0.33158331030671456,1.8,1.8,0.8,0.8,14.4,14.4,5.4,5.4,2.2,2.2,0.48685746080899805,0.48685746080899805,1.25,1.25,1.375,1.375,13.625,13.625,4.625,4.625,1.75,1.75,0.4183762159635882,0.4183762159635882
2021-22,2021-11-07,Arsenal,Watford,1,1,0,3,0.6914119359534208,2.0,2.0,0.8,0.8,13.6,13.6,5.8,5.8,2.2,2.2,0.4558422125181531,0.4558422125181531,1.5,1.5,1.125,1.125,14.0,14.0,4.875,4.875,2.125,2.125,0.4349648065421842,0.4349648065421842
2021-22,2021-11-20,Arsenal,Liverpool,0,0,4,0,0.14596026490066225,1.6,1.6,0.6,0.6,14.0,14.0,5.6,5.6,2.2,2.2,0.5058555893916802,0.5058555893916802,1.625,1.625,0.5,0.5,15.625,15.625,5.625,5.625,2.5,2.5,0.5114706636157269,0.5114706636157269
2021-22,2021-11-27,Arsenal,Newcastle,1,2,0,3,0.6627466613514053,1.6,1.6,1.4,1.4,13.4,13.4,5.8,5.8,2.0,2.0,0.4562597635839339,0.4562597635839339,1.5,1.5,1.0,1.0,12.5,12.5,5.125,5.125,2.125,2.125,0.45040535190072345,0.45040535190072345
2021-22,2021-12-02,Arsenal,Man United,0,2,3,0,0.2549019607843137,1.6,1.6,1.0,1.0,14.8,14.8,5.8,5.8,2.4,2.4,0.4703059773510964,0.4703059773510964,1.625,1.625,1.0,1.0,13.875,13.875,5.5,5.5,2.125,2.125,0.47241624059953174,0.47241624059953174
2021-22,2021-12-06,Arsenal,Everton,0,1,2,0,0.4509283819628648,1.4,1.4,1.4,1.4,13.8,13.8,5.6,5.6,1.8,1.8,0.41732082665930326,0.41732082665930326,1.5,1.5,1.25,1.25,14.5,14.5,5.625,5.625,1.75,1.75,0.4491108542493478,0.4491108542493478
2021-22,2021-12-11,Arsenal,Southampton,1,3,0,3,0.5898914063547392,1.2,1.2,1.8,1.8,14.0,14.0,5.2,5.2,1.2,1.2,0.4411898409905334,0.4411898409905334,1.625,1.625,1.5,1.5,14.75,14.75,5.75,5.75,1.625,1.625,0.45623447775228165,0.45623447775228165
2021-22,2021-12-15,Arsenal,West Ham,1,2,0,3,0.45051194539249145,1.6,1.6,1.8,1.8,14.2,14.2,5.0,5.0,1.2,1.2,0.420885735070797,0.420885735070797,1.75,1.75,1.25,1.25,14.5,14.5,5.625,5.625,1.875,1.875,0.455906454482175,0.455906454482175
