bin,level_1,GF
"(-0.001, 0.2]",n,640.0
"(-0.001, 0.2]",mean,0.8875
"(-0.001, 0.2]",std,0.9568013116629804
"(-0.001, 0.2]",q10,0.0
"(-0.001, 0.2]",q50,1.0
"(-0.001, 0.2]",q90,2.0
"(0.2, 0.35]",n,808.0
"(0.2, 0.35]",mean,1.1559405940594059
"(0.2, 0.35]",std,0.9915181660961422
"(0.2, 0.35]",q10,0.0
"(0.2, 0.35]",q50,1.0
"(0.2, 0.35]",q90,2.0
"(0.35, 0.5]",n,757.0
"(0.35, 0.5]",mean,1.5667107001321003
"(0.35, 0.5]",std,1.2704762052743066
"(0.35, 0.5]",q10,0.0
"(0.35, 0.5]",q50,1.0
"(0.35, 0.5]",q90,3.0
"(0.5, 0.65]",n,466.0
"(0.5, 0.65]",mean,2.0
"(0.5, 0.65]",std,1.3958860462363156
"(0.5, 0.65]",q10,0.0
"(0.5, 0.65]",q50,2.0
"(0.5, 0.65]",q90,4.0
"(0.65, 0.8]",n,294.0
"(0.65, 0.8]",mean,2.251700680272109
"(0.65, 0.8]",std,1.401377055579368
"(0.65, 0.8]",q10,1.0
"(0.65, 0.8]",q50,2.0
"(0.65, 0.8]",q90,4.0
"(0.8, 1.0]",n,75.0
"(0.8, 1.0]",mean,3.12
"(0.8, 1.0]",std,1.7355882768291178
"(0.8, 1.0]",q10,1.0
"(0.8, 1.0]",q50,3.0
"(0.8, 1.0]",q90,5.6000000000000085
