bin,level_1,Pts
"(-0.001, 0.2]",n,640.0
"(-0.001, 0.2]",mean,0.553125
"(-0.001, 0.2]",std,0.9844047614548601
"(-0.001, 0.2]",q10,0.0
"(-0.001, 0.2]",q50,0.0
"(-0.001, 0.2]",q90,3.0
"(0.2, 0.35]",n,808.0
"(0.2, 0.35]",mean,1.0136138613861385
"(0.2, 0.35]",std,1.219098355913919
"(0.2, 0.35]",q10,0.0
"(0.2, 0.35]",q50,1.0
"(0.2, 0.35]",q90,3.0
"(0.35, 0.5]",n,757.0
"(0.35, 0.5]",mean,1.59445178335535
"(0.35, 0.5]",std,1.3097019826442435
"(0.35, 0.5]",q10,0.0
"(0.35, 0.5]",q50,1.0
"(0.35, 0.5]",q90,3.0
"(0.5, 0.65]",n,466.0
"(0.5, 0.65]",mean,1.9957081545064377
"(0.5, 0.65]",std,1.2516010487421596
"(0.5, 0.65]",q10,0.0
"(0.5, 0.65]",q50,3.0
"(0.5, 0.65]",q90,3.0
"(0.65, 0.8]",n,294.0
"(0.65, 0.8]",mean,2.3435374149659864
"(0.65, 0.8]",std,1.0663414487558918
"(0.65, 0.8]",q10,1.0
"(0.65, 0.8]",q50,3.0
"(0.65, 0.8]",q90,3.0
"(0.8, 1.0]",n,75.0
"(0.8, 1.0]",mean,2.8133333333333335
"(0.8, 1.0]",std,0.6469071717711041
"(0.8, 1.0]",q10,3.0
"(0.8, 1.0]",q50,3.0
"(0.8, 1.0]",q90,3.0
